	 SK네트웍스 Family AI 캠프 21기 커리큘럼							교과목별 시간				
	수업일자	일수	교과목	내용		제공 리소스		교과구분	교과목명	세부내용	편성시간	편성시간 합계
	2025년 12월 4일 목요일	43	LLM(초거대언어모델)	자연어 딥러닝	Language Model(딥러닝): Contexturalized Word Embedding - RNN	-						
	2025년 12월 5일 금요일	44	LLM(초거대언어모델)	자연어 딥러닝	Language Model(딥러닝): Contexturalized Word Embedding - Transformer	-						
	2025년 12월 8일 월요일	45	LLM(초거대언어모델)	자연어 딥러닝	Huggingface Transformers 를 이용한 자연어 분석	-						
	2025년 12월 9일 화요일	46	LLM(초거대언어모델)	자연어 딥러닝	Huggingface Transformers 를 이용한 자연어 분석	-						
	2025년 12월 10일 수요일	47	LLM(초거대언어모델)	LLM	LLM 개요							
	2025년 12월 11일 목요일	48	LLM(초거대언어모델)	LLM	프롬프트 엔지니어링 기법							
	2025년 12월 12일 금요일	49	LLM(초거대언어모델)	LLM	Langchain 다루기							
	2025년 12월 15일 월요일	50	LLM(초거대언어모델)	LLM	Langchain 다루기							
	2025년 12월 16일 화요일	51	LLM(초거대언어모델)	LLM	RAG							
	2025년 12월 17일 수요일	52	LLM(초거대언어모델)	프롬프트 엔지니어링	RAG							
	2025년 12월 18일 목요일	53	LLM(초거대언어모델)	프롬프트 엔지니어링	RAG 평가							
	2025년 12월 19일 금요일	54	LLM(초거대언어모델)	프롬프트 엔지니어링	Agent - tool calling							
	2025년 12월 22일 월요일	55	LLM(초거대언어모델)	프롬프트 엔지니어링	Agent - MCP 개발							
	2025년 12월 23일 화요일	56	LLM(초거대언어모델)	프롬프트 엔지니어링	Agent - langgraph 기본							
	2025년 12월 24일 수요일	57	LLM(초거대언어모델)	프롬프트 엔지니어링	Agent 다양한 패턴 구현							
	2025년 12월 26일 금요일	58	LLM(초거대언어모델)	프롬프트 엔지니어링	Agent 다양한 패턴 구현							
	2025년 12월 29일 월요일	59	LLM(초거대언어모델)	자연어-이미지 멀티모달	멀티모달의 개념, CLIP 모델							
	2025년 12월 30일 화요일	60	LLM(초거대언어모델)	자연어-이미지 멀티모달	Langchain을 이용한 멀티모달 요청 처리							
	2025년 12월 31일 수요일	61	LLM(초거대언어모델)	파인튜닝	LLM 파인튜닝 개념							
	2026년 1월 2일 금요일	62	LLM(초거대언어모델)	파인튜닝	Embedding 모델 파인튜닝							
	2026년 1월 5일 월요일	63	LLM(초거대언어모델)	파인튜닝	RAG를 위한 모델 파인튜닝							
	2026년 1월 6일 화요일	64	LLM(초거대언어모델)	파인튜닝	RAG를 위한 모델 파인튜닝							
	2026년 1월 7일 수요일	65	LLM(초거대언어모델)	단위 프로젝트								
	2026년 1월 8일 목요일	66	LLM(초거대언어모델)	단위 프로젝트								
	2026년 1월 9일 금요일	67	AI 활용 애플리케이션 개발	화면 구현	HTML, CSS							
	2026년 1월 12일 월요일	68	AI 활용 애플리케이션 개발	화면 구현	Javascript 기본문법							
	2026년 1월 13일 화요일	69	AI 활용 애플리케이션 개발	화면 구현	Javascript 기본문법							
	2026년 1월 14일 수요일	70	AI 활용 애플리케이션 개발	Django Framework	웹 어플리케이션과 HTTP 프로토콜							
	2026년 1월 15일 목요일	71	AI 활용 애플리케이션 개발	Django Framework	MVT 패턴, Django ORM							
	2026년 1월 16일 금요일	72	AI 활용 애플리케이션 개발	Django Framework	Django Template 문법							
	2026년 1월 19일 월요일	73	AI 활용 애플리케이션 개발	Django Framework	View 구현							
	2026년 1월 20일 화요일	74	AI 활용 애플리케이션 개발	Django Framework	User관리, 인증처리							
	2026년 1월 21일 수요일	75	AI 활용 애플리케이션 개발	리눅스	리눅스 기본 명령어.							
	2026년 1월 22일 목요일	76	AI 활용 애플리케이션 개발	클라우드	Cloud 개요.							
	2026년 1월 23일 금요일	77	AI 활용 애플리케이션 개발	클라우드	AWS EC2 생성 및 설정							
	2026년 1월 26일 월요일	78	AI 활용 애플리케이션 개발	클라우드	AWS 주요 서비스 - RDS, S3. 머신러닝 모델 훈련							
	2026년 1월 27일 화요일	79	AI 활용 애플리케이션 개발	SW공학	요구사항 분석, 시스템 설계, 테스트 케이스 생성							
	2026년 1월 28일 수요일	80	AI 활용 애플리케이션 개발	SW공학	GIT과 GIT Hub를 이용한 팀프로젝트 형상관리							
	2026년 1월 29일 목요일	81	AI 활용 애플리케이션 개발	단위 프로젝트								
	2026년 1월 30일 금요일	82	AI 활용 애플리케이션 개발	단위 프로젝트								
	2026년 2월 2일 월요일	83	최종프로젝트									
	2026년 2월 3일 화요일	84	최종프로젝트									
	2026년 2월 4일 수요일	85	최종프로젝트									
	2026년 2월 5일 목요일	86	최종프로젝트									
	2026년 2월 6일 금요일	87	최종프로젝트									
	2026년 2월 9일 월요일	88	최종프로젝트									
	2026년 2월 10일 화요일	89	최종프로젝트									
